ticker,roe,profit_margin,quality_score,sector,ret_36m,q
AAPL,148.75101,27.618998,88.2,Technology,87.2,Q1
MSFT,34.039003,40.305,37.2,Technology,60.1,Q2
AMZN,30.558002,17.44,24.0,Consumer Cyclical,102.1,Q2
GOOGL,48.676,54.771,51.7,Communication Services,161.0,Q1
META,29.848000000000003,29.834998,29.8,Communication Services,106.1,Q2
NVDA,117.211,63.663,90.4,Technology,419.9,Q1
TSLA,4.6669997,3.671,4.2,Consumer Cyclical,47.1,Q4
BRK-B,12.1199995,22.296,17.2,Financial Services,44.4,Q3
JPM,17.788999999999998,34.921002,26.4,Financial Services,160.4,Q2
V,61.19,50.782,56.0,Financial Services,64.0,Q1
JNJ,25.742,21.482,23.6,Healthcare,88.2,Q3
WMT,22.313999000000003,3.0,12.7,Consumer Defensive,105.3,Q3
MA,241.202,46.339000000000006,143.8,Financial Services,46.8,Q1
PG,30.290002,18.437,24.4,Consumer Defensive,8.0,Q2
UNH,14.152999,3.135,8.6,Healthcare,-15.9,Q4
HD,104.29599,8.41,56.4,Consumer Cyclical,12.1,Q1
DIS,8.01,8.6990006,8.4,Communication Services,33.7,Q4
NFLX,49.541,28.219,38.9,Communication Services,103.3,Q2
AMD,10.196,15.577,12.9,Technology,391.9,Q3
INTC,-10.715,-19.794,-15.3,Technology,198.8,Q4
KO,42.054,28.558,35.3,Consumer Defensive,71.1,Q2
PEP,51.508,10.785,31.1,Consumer Defensive,-8.9,Q2
ORCL,53.376000000000005,25.368,39.4,Technology,59.0,Q2
CRM,19.381,21.99,20.7,Technology,25.0,Q3
ADBE,62.953997,28.689,45.8,Technology,-49.5,Q1
COST,29.152,3.01,16.1,Consumer Defensive,67.6,Q3
AVGO,44.245000000000005,42.944,43.6,Technology,357.5,Q1
MU,66.63799999999999,55.906,61.3,Technology,1386.8,Q1
MRVL,16.523,27.934998,22.2,Technology,320.3,Q3
AMAT,41.068,30.052,35.6,Technology,249.6,Q2
KLAC,87.496,35.574,61.5,Technology,322.0,Q1
LRCX,65.06600399999999,31.272,48.2,Technology,423.6,Q1
QCOM,33.754003,21.013,27.4,Technology,67.0,Q2
ASML,53.942,30.114,42.0,Technology,207.4,Q1
TER,36.465,25.766,31.1,Technology,274.4,Q2
FORM,10.989001,12.798001,11.9,Technology,214.4,Q3
AMKR,12.514,7.448,10.0,Technology,135.3,Q4
ASX,17.009,8.545999,12.8,Technology,469.9,Q3
SNDK,91.64,56.465,74.1,Technology,3609.7,Q1
ARM,13.352999,20.247999,16.8,Technology,388.7,Q3
005930.KS,30.794,30.842,30.8,Technology,314.5,Q2
000660.KS,354.055,85.619,219.8,Technology,1493.8,Q1
035420.KS,6.421,15.609999,11.0,Communication Services,8.5,Q4
005380.KS,7.165000000000001,4.3169998000000005,5.7,Consumer Cyclical,131.1,Q4
000270.KS,11.598,5.9159998,8.8,Consumer Cyclical,80.0,Q4
005490.KS,2.214,1.8919999,2.1,Basic Materials,-33.6,Q4
051910.KS,-5.705,-3.159,-4.4,Basic Materials,-44.7,Q4
006400.KS,0.202,0.264,0.2,Industrials,4.2,Q4
035720.KS,3.7219997,4.088,3.9,Communication Services,-19.1,Q4
207940.KS,18.526,38.747,28.6,Healthcare,37.5,Q2
068270.KS,9.111,32.18,20.6,Healthcare,52.5,Q3
105560.KS,10.2239996,36.529,23.4,Financial Services,252.2,Q3
055550.KS,8.941,26.150998,17.5,Financial Services,253.8,Q3
015760.KS,16.595,8.035,12.3,Utilities,97.5,Q3
066570.KS,5.284,1.116,3.2,Technology,110.5,Q4
003670.KS,1.36,1.55299995,1.5,Industrials,-49.7,Q4
247540.KQ,3.909,1.898,2.9,Industrials,-58.6,Q4
