date,close,state,action,last_cross,last_cross_date,days_since_cross,ticker,return_12m_pct,return_1m_pct,rsi14
2026-06-25,275.1499938964844,bull,보유,golden_cross,2025-09-15,283.0,AAPL,37.05,-10.76,32.22
2026-06-25,352.8299865722656,bear,미보유,death_cross,2026-01-22,154.0,MSFT,-27.75,-15.19,28.76
2026-06-25,227.00999450683594,bull,보유,golden_cross,2026-05-06,50.0,AMZN,7.09,-14.43,33.63
2026-06-25,343.7099914550781,bull,보유,golden_cross,2025-07-23,337.0,GOOGL,101.95,-11.56,36.26
2026-06-25,542.8699951171875,bear,미보유,death_cross,2025-12-10,197.0,META,-23.15,-11.26,34.28
2026-06-25,195.74000549316406,bull,보유,golden_cross,2025-06-27,363.0,NVDA,27.02,-8.79,39.67
2026-06-25,375.1199951171875,bear,미보유,death_cross,2026-04-09,77.0,TSLA,14.52,-13.49,38.94
2026-06-25,487.80999755859375,bear,미보유,death_cross,2026-03-26,91.0,BRK-B,0.33,0.87,52.31
2026-06-25,335.1199951171875,bull,매수,golden_cross,2026-06-05,20.0,JPM,20.27,9.25,67.66
2026-06-25,330.5199890136719,bear,미보유,death_cross,2025-10-28,240.0,V,-3.51,1.24,56.23
2026-06-25,244.8800048828125,bull,보유,golden_cross,2025-07-09,351.0,JNJ,64.83,6.39,65.16
2026-06-25,115.77999877929688,bull,보유,golden_cross,2022-11-15,1318.0,WMT,20.04,-2.35,37.56
2026-06-25,488.9200134277344,bear,미보유,death_cross,2025-12-01,206.0,MA,-10.53,-0.83,47.93
2026-06-25,148.5,bear,미보유,death_cross,2026-05-04,52.0,PG,-3.9,3.88,52.25
2026-06-25,415.5299987792969,bull,보유,golden_cross,2026-05-14,42.0,UNH,41.27,10.89,66.64
2026-06-25,345.0,bear,미보유,death_cross,2025-12-09,198.0,HD,-2.12,11.93,64.91
2026-06-25,98.05000305175781,bear,미보유,death_cross,2025-12-11,196.0,DIS,-17.34,-5.06,40.34
2026-06-25,70.9000015258789,bear,미보유,death_cross,2025-12-05,202.0,NFLX,-44.4,-19.14,19.05
2026-06-25,532.5700073242188,bull,보유,golden_cross,2025-07-16,344.0,AMD,271.39,5.69,58.49
2026-06-25,132.8699951171875,bull,보유,golden_cross,2025-08-15,314.0,INTC,498.51,7.57,60.52
